Time_s,Potential_V,Current_Total_uA,Current_Faradaic_uA,Current_Capacitive_uA,C_Ox_Surface_mM,C_Red_Surface_mM,Current_Density_mA_cm2
0.0,-0.3,0.0,0.0,0.02000000000000002,10.0,0.0,0.0
0.01,-0.299,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.02,-0.298,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.03,-0.297,0.0,0.0,0.019999999999999574,10.0,0.0,0.0
0.04,-0.296,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.05,-0.295,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.06,-0.294,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.07,-0.293,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.08,-0.292,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.09,-0.291,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.1,-0.29,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.11,-0.289,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.12,-0.288,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.13,-0.287,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.14,-0.286,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.15,-0.285,0.0,0.0,0.019999999999999574,10.0,0.0,0.0
0.16,-0.284,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.17,-0.283,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.18,-0.282,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.19,-0.28099999999999997,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.2,-0.27999999999999997,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.21,-0.27899999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.22,-0.27799999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.23,-0.27699999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.24,-0.27599999999999997,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.25,-0.27499999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.26,-0.27399999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.27,-0.27299999999999996,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.28,-0.27199999999999996,0.0,0.0,0.019999999999998862,10.0,0.0,0.0
0.29,-0.271,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.3,-0.27,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.31,-0.269,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.32,-0.268,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.33,-0.267,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.34,-0.266,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.35000000000000003,-0.265,0.0,0.0,0.019999999999999574,10.0,0.0,0.0
0.36,-0.264,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.37,-0.263,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.38,-0.262,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.39,-0.261,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.4,-0.26,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.41000000000000003,-0.259,0.0,0.0,0.019999999999999574,10.0,0.0,0.0
0.42,-0.258,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.43,-0.257,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.44,-0.256,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.45,-0.255,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.46,-0.254,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.47000000000000003,-0.253,0.0,0.0,0.019999999999999574,10.0,0.0,0.0
0.48,-0.252,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.49,-0.251,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.5,-0.25,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.51,-0.249,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.52,-0.248,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.53,-0.247,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.54,-0.246,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.55,-0.245,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.56,-0.244,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.5700000000000001,-0.243,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.58,-0.242,0.0,0.0,0.020000000000000642,10.0,0.0,0.0
0.59,-0.241,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.6,-0.24,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.61,-0.239,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.62,-0.238,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.63,-0.237,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.64,-0.236,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.65,-0.235,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.66,-0.23399999999999999,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.67,-0.23299999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.68,-0.23199999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.6900000000000001,-0.23099999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.7000000000000001,-0.22999999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.71,-0.22899999999999998,0.0,0.0,0.020000000000000642,10.0,0.0,0.0
0.72,-0.22799999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.73,-0.22699999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.74,-0.22599999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.75,-0.22499999999999998,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.76,-0.22399999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.77,-0.22299999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.78,-0.22199999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.79,-0.22099999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.8,-0.21999999999999997,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.81,-0.21899999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.8200000000000001,-0.21799999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.8300000000000001,-0.21699999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.84,-0.21599999999999997,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.85,-0.21499999999999997,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.86,-0.21399999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.87,-0.21299999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.88,-0.21199999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.89,-0.21099999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.9,-0.20999999999999996,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.91,-0.20899999999999996,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.92,-0.20799999999999996,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.93,-0.20699999999999996,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.9400000000000001,-0.20599999999999996,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.9500000000000001,-0.20499999999999996,0.0,0.0,0.019999999999999574,10.0,0.0,0.0
0.96,-0.204,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.97,-0.20299999999999999,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
0.98,-0.20199999999999999,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
0.99,-0.20099999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.0,-0.19999999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.01,-0.19899999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.02,-0.19799999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.03,-0.19699999999999998,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
1.04,-0.19599999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.05,-0.19499999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.06,-0.19399999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.07,-0.19299999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.08,-0.19199999999999998,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
1.09,-0.19099999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.1,-0.18999999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.11,-0.18899999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.12,-0.18799999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.1300000000000001,-0.18699999999999997,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
1.1400000000000001,-0.18599999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.1500000000000001,-0.18499999999999997,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.16,-0.184,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
1.17,-0.183,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.18,-0.182,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.19,-0.181,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
1.2,-0.18,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.21,-0.179,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.22,-0.178,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.23,-0.177,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.24,-0.176,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
1.25,-0.175,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.26,-0.174,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.27,-0.173,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.28,-0.172,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.29,-0.17099999999999999,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
1.3,-0.16999999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.31,-0.16899999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.32,-0.16799999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.33,-0.16699999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.34,-0.16599999999999998,0.0,0.0,0.020000000000000285,10.0,0.0,0.0
1.35,-0.16499999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.36,-0.16399999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.37,-0.16299999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.3800000000000001,-0.16199999999999998,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
1.3900000000000001,-0.16099999999999998,0.0,0.0,0.02000000000000011,10.0,0.0,0.0
1.4000000000000001,-0.15999999999999998,0.0,0.0,0.019999999999999754,10.0,0.0,0.0
1.41,-0.159,0.0,0.0,0.01999999999999993,10.0,0.0,0.0
