ox_voltage,ox_current,red_voltage,red_current,peak_separation,scan_rate,file_path,success,device,concentration_str,concentration
0.0786,-1.509,0.1682,1.5083,0.08959999999999999,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E1_scan_02.csv,True,STM32,0.5mM,0.5
0.0786,-1.5316,0.1682,1.4831,0.08959999999999999,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E1_scan_03.csv,True,STM32,0.5mM,0.5
0.0786,-1.5442,0.1682,1.4803,0.08959999999999999,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E1_scan_04.csv,True,STM32,0.5mM,0.5
0.0786,-1.5402,0.1682,1.4796,0.08959999999999999,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E1_scan_05.csv,True,STM32,0.5mM,0.5
0.0786,-1.5632,0.1682,1.4873999999999998,0.08959999999999999,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E1_scan_06.csv,True,STM32,0.5mM,0.5
0.0786,-1.5698,0.1682,1.496,0.08959999999999999,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E1_scan_07.csv,True,STM32,0.5mM,0.5
0.0786,-1.5679,0.1682,1.4947,0.08959999999999999,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E1_scan_08.csv,True,STM32,0.5mM,0.5
0.0786,-1.5756,0.1682,1.5009,0.08959999999999999,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E1_scan_09.csv,True,STM32,0.5mM,0.5
0.0786,-1.5758,0.1682,1.5112,0.08959999999999999,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E1_scan_10.csv,True,STM32,0.5mM,0.5
0.0786,-1.5762,0.1682,1.4947,0.08959999999999999,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E1_scan_11.csv,True,STM32,0.5mM,0.5
0.0884,-18.666,0.1779,18.581,0.0895,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E2_scan_02.csv,True,STM32,0.5mM,0.5
0.0884,-19.055,0.1779,18.145,0.0895,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E2_scan_03.csv,True,STM32,0.5mM,0.5
0.0884,-19.204,0.1779,18.258,0.0895,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E2_scan_04.csv,True,STM32,0.5mM,0.5
0.0884,-19.326,0.1779,18.482,0.0895,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E2_scan_05.csv,True,STM32,0.5mM,0.5
0.0884,-19.394,0.1779,18.591,0.0895,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E2_scan_06.csv,True,STM32,0.5mM,0.5
0.0884,-19.744,0.1779,18.542,0.0895,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E2_scan_07.csv,True,STM32,0.5mM,0.5
0.0884,-19.701,0.1779,18.565,0.0895,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E2_scan_08.csv,True,STM32,0.5mM,0.5
0.0884,-19.738,0.1779,18.645,0.0895,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E2_scan_09.csv,True,STM32,0.5mM,0.5
0.0884,-19.814,0.1779,18.743,0.0895,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E2_scan_10.csv,True,STM32,0.5mM,0.5
0.0884,-19.83,0.1779,18.855,0.0895,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E2_scan_11.csv,True,STM32,0.5mM,0.5
0.0683,-23.673,0.1779,22.572,0.1096,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E3_scan_02.csv,True,STM32,0.5mM,0.5
0.0683,-23.759,0.1779,22.196,0.1096,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E3_scan_03.csv,True,STM32,0.5mM,0.5
0.0683,-24.044,0.1779,22.193,0.1096,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E3_scan_04.csv,True,STM32,0.5mM,0.5
0.0683,-24.041,0.1779,22.119,0.1096,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E3_scan_05.csv,True,STM32,0.5mM,0.5
0.0683,-23.935,0.1779,22.358,0.1096,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E3_scan_06.csv,True,STM32,0.5mM,0.5
0.0683,-24.051,0.1779,22.106,0.1096,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E3_scan_07.csv,True,STM32,0.5mM,0.5
0.0683,-24.179,0.1779,22.142,0.1096,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E3_scan_08.csv,True,STM32,0.5mM,0.5
0.0683,-24.535,0.1779,22.112,0.1096,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E3_scan_09.csv,True,STM32,0.5mM,0.5
0.0683,-24.577,0.1779,22.191000000000003,0.1096,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E3_scan_10.csv,True,STM32,0.5mM,0.5
0.0683,-24.533,0.1779,22.299,0.1096,100,Test_data/Stm32/Pipot_0.5mM/Pipot_Ferro_0.5mM_100mVpS_E3_scan_11.csv,True,STM32,0.5mM,0.5
