ox_voltage,ox_current,red_voltage,red_current,peak_separation,file_path,success,device,concentration
-0.0212,-287.28,0.2577,277.45,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_02.csv,True,STM32,10mM
-0.0212,-289.48,0.2577,275.37,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_03.csv,True,STM32,10mM
-0.0212,-290.42,0.2577,274.95,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_04.csv,True,STM32,10mM
-0.0212,-289.66,0.2577,275.06,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_05.csv,True,STM32,10mM
-0.0212,-291.05,0.2479,274.65,0.2691,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_06.csv,True,STM32,10mM
-0.0212,-290.67999999999995,0.2479,274.5,0.2691,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_07.csv,True,STM32,10mM
-0.0212,-290.98999999999995,0.2479,275.54,0.2691,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_08.csv,True,STM32,10mM
-0.0212,-292.87,0.2577,275.82000000000005,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_09.csv,True,STM32,10mM
-0.0212,-292.31,0.2577,275.97,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_10.csv,True,STM32,10mM
-0.0212,-293.37,0.2577,276.83,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_11.csv,True,STM32,10mM
-0.0511,-381.95,0.2979,396.31,0.349,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_02.csv,True,STM32,10mM
-0.0614,-390.18,0.2979,387.88,0.3593,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_03.csv,True,STM32,10mM
-0.0614,-395.09,0.2881,386.0700000000001,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_04.csv,True,STM32,10mM
-0.0614,-397.37,0.2881,384.43,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_05.csv,True,STM32,10mM
-0.0614,-400.11,0.2881,385.96,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_06.csv,True,STM32,10mM
-0.0614,-400.97,0.2881,385.32,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_07.csv,True,STM32,10mM
-0.0614,-402.12,0.2881,385.9,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_08.csv,True,STM32,10mM
-0.0614,-402.22,0.2881,386.5,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_09.csv,True,STM32,10mM
-0.0614,-403.71,0.2881,386.52,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_10.csv,True,STM32,10mM
