Device,Actual_Concentration_mM,N_Samples,Predicted_Mean_mM,Predicted_Std_mM,Predicted_SEM_mM,CV_Percent,Bias_mM,Bias_Percent,AbsError_Mean_mM,AbsError_Std_mM,RelError_Mean_Percent,RelError_Std_Percent
Palmsens,0.5,50,0.4952,0.5105,0.0722,103.0897,-0.0048,-0.96,0.4708,0.1856,94.161,37.1147
Palmsens,1.0,50,0.7251,0.4883,0.0691,67.3424,-0.2749,-27.49,0.4453,0.3364,44.5271,33.64
Palmsens,5.0,50,4.812,0.5573,0.0788,11.5815,-0.188,-3.76,0.5001,0.3024,10.002,6.048
Palmsens,10.0,50,9.9511,0.6253,0.0884,6.2837,-0.0489,-0.489,0.5736,0.2403,5.7356,2.403
Palmsens,20.0,20,19.4884,0.867,0.1939,4.4488,-0.5116,-2.558,0.8436,0.5273,4.218,2.6363
STM32,0.5,30,0.9881,0.2836,0.0518,28.7015,0.4881,97.62,0.4881,0.2836,97.6287,56.7222
STM32,1.0,50,1.2906,0.6665,0.0943,51.6426,0.2906,29.06,0.6082,0.3911,60.8198,39.1061
STM32,5.0,50,4.805,0.2906,0.0411,6.0479,-0.195,-3.9,0.2749,0.2149,5.4982,4.297
STM32,10.0,40,10.4839,0.8538,0.135,8.1439,0.4839,4.839,0.8318,0.5095,8.318,5.0946
STM32,20.0,13,19.7904,1.0751,0.2982,5.4324,-0.2096,-1.048,0.9301,0.516,4.6507,2.5798
