Sample_ID,Device,Mean_Concentration_mM,Difference_mM,Actual_Concentration_mM,Predicted_Concentration_mM,Scan_Rate_mVs
1,Palmsens,0.2622581668291959,-0.4754836663416082,0.5,0.024516333658391787,100
2,Palmsens,0.2625304710341201,-0.47493905793175983,0.5,0.025060942068240166,100
3,Palmsens,0.2628545672866265,-0.47429086542674703,0.5,0.025709134573252967,100
4,Palmsens,0.26313181226281035,-0.4737363754743793,0.5,0.0262636245256207,100
5,Palmsens,0.2633412155579391,-0.4733175688841218,0.5,0.026682431115878202,100
6,Palmsens,0.2634885161411544,-0.47302296771769115,0.5,0.026977032282308855,100
7,Palmsens,0.263656965216414,-0.47268606956717196,0.5,0.027313930432828037,100
8,Palmsens,0.26378609256183605,-0.4724278148763279,0.5,0.0275721851236721,100
9,Palmsens,0.2638272645905064,-0.47234547081898715,0.5,0.027654529181012855,100
10,Palmsens,0.26396556455536047,-0.47206887088927907,0.5,0.02793112911072093,100
11,Palmsens,0.74679339162395,0.49358678324789995,0.5,0.9935867832479,100
12,Palmsens,0.7469521926012592,0.49390438520251845,0.5,0.9939043852025184,100
13,Palmsens,0.7470810966040471,0.4941621932080942,0.5,0.9941621932080942,100
14,Palmsens,0.7472066068626382,0.49441321372527636,0.5,0.9944132137252764,100
15,Palmsens,0.7473300774738822,0.4946601549477645,0.5,0.9946601549477645,100
16,Palmsens,0.7474253509561097,0.49485070191221947,0.5,0.9948507019122195,100
17,Palmsens,0.7474956081806239,0.49499121636124777,0.5,0.9949912163612478,100
18,Palmsens,0.747551303342203,0.495102606684406,0.5,0.995102606684406,100
19,Palmsens,0.7476135222832001,0.4952270445664002,0.5,0.9952270445664002,100
20,Palmsens,0.7476280836001923,0.49525616720038457,0.5,0.9952561672003846,100
21,Palmsens,0.5887057415902248,0.17741148318044964,0.5,0.6774114831804496,100
22,Palmsens,0.5889742160655471,0.17794843213109424,0.5,0.6779484321310942,100
23,Palmsens,0.5891114244363354,0.1782228488726707,0.5,0.6782228488726707,100
24,Palmsens,0.5893114567508251,0.17862291350165016,0.5,0.6786229135016502,100
25,Palmsens,0.589432073881071,0.178864147762142,0.5,0.678864147762142,100
26,Palmsens,0.5895231959252412,0.17904639185048232,0.5,0.6790463918504823,100
27,Palmsens,0.589557167739529,0.17911433547905808,0.5,0.6791143354790581,100
28,Palmsens,0.5896540072154348,0.17930801443086963,0.5,0.6793080144308696,100
29,Palmsens,0.5896806429085393,0.17936128581707855,0.5,0.6793612858170786,100
30,Palmsens,0.5897114757097528,0.1794229514195056,0.5,0.6794229514195056,100
31,Palmsens,0.7453666699779147,0.49073333995582935,0.5,0.9907333399558294,100
32,Palmsens,0.7455651744828096,0.49113034896561913,0.5,0.9911303489656191,100
33,Palmsens,0.7457093965203829,0.49141879304076586,0.5,0.9914187930407659,100
34,Palmsens,0.7458578851113509,0.49171577022270174,0.5,0.9917157702227017,100
35,Palmsens,0.7459323974434531,0.49186479488690615,0.5,0.9918647948869062,100
36,Palmsens,0.7460130611028815,0.4920261222057629,0.5,0.9920261222057629,100
37,Palmsens,0.7460214701164798,0.4920429402329596,0.5,0.9920429402329596,100
38,Palmsens,0.7460369382367897,0.4920738764735795,0.5,0.9920738764735795,100
39,Palmsens,0.746023184473672,0.492046368947344,0.5,0.992046368947344,100
40,Palmsens,0.7460431862079275,0.49208637241585507,0.5,0.9920863724158551,100
41,Palmsens,0.2565398781243369,-0.48692024375132625,0.5,0.013079756248673746,100
42,Palmsens,0.2566932870629053,-0.48661342587418943,0.5,0.013386574125810569,100
43,Palmsens,0.09288817739992439,-0.8142236452001512,0.5,-0.3142236452001512,100
44,Palmsens,0.09291573231822081,-0.8141685353635584,0.5,-0.3141685353635584,100
45,Palmsens,0.09296016326319334,-0.8140796734736133,0.5,-0.3140796734736133,100
46,Palmsens,0.09304934686159427,-0.8139013062768115,0.5,-0.31390130627681145,100
47,Palmsens,0.09316128349760389,-0.8136774330047922,0.5,-0.3136774330047922,100
48,Palmsens,0.09329635087145238,-0.8134072982570952,0.5,-0.31340729825709523,100
49,Palmsens,0.09342758903151793,-0.8131448219369641,0.5,-0.31314482193696414,100
50,Palmsens,0.2574107971087396,-0.4851784057825208,0.5,0.014821594217479195,100
51,STM32,0.7614916423769729,0.5229832847539457,0.5,1.0229832847539457,100
52,STM32,0.7615117620446417,0.5230235240892833,0.5,1.0230235240892833,100
53,STM32,0.7615313707313427,0.5230627414626854,0.5,1.0230627414626854,100
54,STM32,0.7615239605311528,0.5230479210623056,0.5,1.0230479210623056,100
55,STM32,0.761569385116454,0.523138770232908,0.5,1.023138770232908,100
56,STM32,0.7615871654911874,0.5231743309823749,0.5,1.0231743309823749,100
57,STM32,0.7615829239464023,0.5231658478928045,0.5,1.0231658478928045,100
58,STM32,0.7616008082693835,0.523201616538767,0.5,1.023201616538767,100
59,STM32,0.7616088358826119,0.5232176717652237,0.5,1.0232176717652237,100
60,STM32,0.7615972166298262,0.5231944332596523,0.5,1.0231944332596523,100
61,STM32,0.5639296966325515,0.1278593932651031,0.5,0.6278593932651031,100
62,STM32,0.5642743274656117,0.12854865493122336,0.5,0.6285486549312234,100
63,STM32,0.5646151985037742,0.12923039700754835,0.5,0.6292303970075483,100
64,STM32,0.564992374925434,0.12998474985086794,0.5,0.6299847498508679,100
65,STM32,0.5651907793781117,0.13038155875622337,0.5,0.6303815587562234,100
