Sample_ID,Device,Actual_Class,Predicted_Class,Concentration_mM,Scan_Rate_mVs,OX_Voltage_V,OX_Current_A,RED_Voltage_V,RED_Current_A,Peak_Separation_V
1,Palmsens,0,0.3035154812645716,0.5,100,0.100378032,-17.482056,0.190448,17.467964,0.090069968
2,Palmsens,0,0.3034539585661316,0.5,100,0.100378032,-17.535602,0.190448,17.7094,0.090069968
3,Palmsens,0,0.30340523528560764,0.5,100,0.100378032,-17.65585,0.190448,17.866286,0.090069968
4,Palmsens,0,0.303363353857794,0.5,100,0.100378032,-17.75825,0.190448,18.001566,0.090069968
5,Palmsens,0,0.30332303462945864,0.5,100,0.100378032,-17.815556,0.190448,18.149998,0.090069968
6,Palmsens,0,0.3033012254875048,0.5,100,0.100378032,-17.870982,0.190448,18.219516,0.090069968
7,Palmsens,0,0.3032809819048901,0.5,100,0.100378032,-17.9452,0.190448,18.274004,0.090069968
8,Palmsens,0,0.3032583122333261,0.5,100,0.100378032,-17.985596,0.190448,18.353856,0.090069968
9,Palmsens,0,0.30323857631014606,0.5,100,0.100378032,-17.969624,0.190448,18.445922,0.090069968
10,Palmsens,0,0.30321712557561964,0.5,100,0.100378032,-18.019416,0.190448,18.51638,0.090069968
11,Palmsens,0,0.577507360695491,0.5,100,0.080362472,-14.984081,0.170432,13.862389,0.090069528
12,Palmsens,0,0.577453465630179,0.5,100,0.080362472,-14.973748,0.170432,14.099129,0.090069528
13,Palmsens,0,0.5774251639240989,0.5,100,0.080362472,-15.000992,0.170432,14.209043,0.090069528
14,Palmsens,0,0.5774007686149792,0.5,100,0.080362472,-15.034811,0.170432,14.299229,0.090069528
15,Palmsens,0,0.5773810812697199,0.5,100,0.080362472,-15.078026,0.170432,14.36499,0.090069528
16,Palmsens,0,0.5773685387239607,0.5,100,0.080362472,-15.117482,0.170432,14.401628,0.090069528
17,Palmsens,0,0.5773588941892699,0.5,100,0.080362472,-15.145666,0.170432,14.430751,0.090069528
18,Palmsens,0,0.5773501153016765,0.5,100,0.080362472,-15.165394,0.170432,14.459873,0.090069528
19,Palmsens,0,0.5773397134147495,0.5,100,0.080362472,-15.186061,0.170432,14.495573,0.090069528
20,Palmsens,0,0.5773388479997743,0.5,100,0.080362472,-15.194517,0.170432,14.495573,0.090069528
21,Palmsens,0,0.5321329810023331,0.5,100,0.090370248,-17.211496,0.170432,16.620588,0.080061752
22,Palmsens,0,0.532069392636767,0.5,100,0.090370248,-17.257528,0.170432,16.874236,0.080061752
23,Palmsens,0,0.5320409500490738,0.5,100,0.090370248,-17.290408,0.170432,16.982272,0.080061752
24,Palmsens,0,0.5320096559114936,0.5,100,0.090370248,-17.361806,0.170432,17.08561,0.080061752
25,Palmsens,0,0.5319920785778026,0.5,100,0.090370248,-17.40784,0.170432,17.141038,0.080061752
26,Palmsens,0,0.5319796062407279,0.5,100,0.090370248,-17.444478,0.170432,17.178616,0.080061752
27,Palmsens,0,0.5319775872120345,0.5,100,0.090370248,-17.464206,0.170432,17.178616,0.080061752
28,Palmsens,0,0.5319661864948676,0.5,100,0.090370248,-17.50742,0.170432,17.208678,0.080061752
29,Palmsens,0,0.5319631920489717,0.5,100,0.090370248,-17.519632,0.170432,17.216194,0.080061752
30,Palmsens,0,0.5319535975153623,0.5,100,0.090370248,-17.519632,0.170432,17.257528,0.080061752
31,Palmsens,0,0.5776332593817635,0.5,100,0.080362472,-14.250379,0.170432,13.643499,0.090069528
32,Palmsens,0,0.5775890009650292,0.5,100,0.080362472,-14.290775,0.170432,13.816357,0.090069528
33,Palmsens,0,0.577563669902471,0.5,100,0.080362472,-14.335867,0.170432,13.905604,0.090069528
34,Palmsens,0,0.5775410844437998,0.5,100,0.080362472,-14.390355,0.170432,13.97888,0.090069528
35,Palmsens,0,0.5775288937401726,0.5,100,0.080362472,-14.41572,0.170432,14.020215,0.090069528
36,Palmsens,0,0.5775184542038776,0.5,100,0.080362472,-14.44954,0.170432,14.050278,0.090069528
37,Palmsens,0,0.5775158374917913,0.5,100,0.080362472,-14.44954,0.170432,14.061551,0.090069528
38,Palmsens,0,0.5775098020639101,0.5,100,0.080362472,-14.446721,0.170432,14.088795,0.090069528
39,Palmsens,0,0.5775079733513238,0.5,100,0.080362472,-14.43263,0.170432,14.102886,0.090069528
