Sample_ID,Device,Actual_Class,Predicted_Class,Concentration_mM,Scan_Rate_mVs,OX_Voltage_V,OX_Current_A,RED_Voltage_V,RED_Current_A,Peak_Separation_V
51,STM32,1,0.6100974701586743,0.5,100,0.0786,-1.509,0.1682,1.5083,0.0895999999999999
52,STM32,1,0.6101010066761574,0.5,100,0.0786,-1.5316,0.1682,1.4831,0.0895999999999999
53,STM32,1,0.6101003670923258,0.5,100,0.0786,-1.5442,0.1682,1.4803,0.0895999999999999
54,STM32,1,0.6101009389509887,0.5,100,0.0786,-1.5402,0.1682,1.4796,0.0895999999999999
55,STM32,1,0.6100967745028658,0.5,100,0.0786,-1.5632,0.1682,1.4873999999999998,0.0895999999999999
56,STM32,1,0.6100941027872668,0.5,100,0.0786,-1.5698,0.1682,1.496,0.0895999999999999
57,STM32,1,0.6100945989982336,0.5,100,0.0786,-1.5679,0.1682,1.4947,0.0895999999999999
58,STM32,1,0.6100923717979667,0.5,100,0.0786,-1.5756,0.1682,1.5009,0.0895999999999999
59,STM32,1,0.6100899604719929,0.5,100,0.0786,-1.5758,0.1682,1.5112,0.0895999999999999
60,STM32,1,0.6100937495488137,0.5,100,0.0786,-1.5762,0.1682,1.4947,0.0895999999999999
61,STM32,1,0.47168259366093684,0.5,100,0.0884,-18.666,0.1779,18.581,0.0895
62,STM32,1,0.4717439873380173,0.5,100,0.0884,-19.055,0.1779,18.145,0.0895
63,STM32,1,0.4717025083919581,0.5,100,0.0884,-19.204,0.1779,18.258,0.0895
64,STM32,1,0.4716380271654123,0.5,100,0.0884,-19.326,0.1779,18.482,0.0895
65,STM32,1,0.47160576651522185,0.5,100,0.0884,-19.394,0.1779,18.591,0.0895
66,STM32,1,0.47158132034035294,0.5,100,0.0884,-19.744,0.1779,18.542,0.0895
67,STM32,1,0.4715803822948157,0.5,100,0.0884,-19.701,0.1779,18.565,0.0895
68,STM32,1,0.4715580258270444,0.5,100,0.0884,-19.738,0.1779,18.645,0.0895
69,STM32,1,0.47152749977318664,0.5,100,0.0884,-19.814,0.1779,18.743,0.0895
70,STM32,1,0.47149986460857585,0.5,100,0.0884,-19.83,0.1779,18.855,0.0895
71,STM32,1,0.5596316749670047,0.5,100,0.0683,-23.673,0.1779,22.572,0.1096
72,STM32,1,0.5597101513409234,0.5,100,0.0683,-23.759,0.1779,22.196,0.1096
73,STM32,1,0.5596816798656042,0.5,100,0.0683,-24.044,0.1779,22.193,0.1096
74,STM32,1,0.5596991639286376,0.5,100,0.0683,-24.041,0.1779,22.119,0.1096
75,STM32,1,0.5596545351442749,0.5,100,0.0683,-23.935,0.1779,22.358,0.1096
76,STM32,1,0.5597011580825015,0.5,100,0.0683,-24.051,0.1779,22.106,0.1096
77,STM32,1,0.5596797017451484,0.5,100,0.0683,-24.179,0.1779,22.142,0.1096
78,STM32,1,0.5596502311911425,0.5,100,0.0683,-24.535,0.1779,22.112,0.1096
79,STM32,1,0.5596275951289225,0.5,100,0.0683,-24.577,0.1779,22.191000000000003,0.1096
80,STM32,1,0.5596070290508047,0.5,100,0.0683,-24.533,0.1779,22.299,0.1096
131,STM32,1,0.5365191797288765,1.0,100,0.0786,-3.0547,0.1779,3.5435,0.0993
132,STM32,1,0.6256801680926949,1.0,100,0.0786,-3.1199,0.1682,3.3117,0.0895999999999999
133,STM32,1,0.6256883353689153,1.0,100,0.0786,-3.1628,0.1682,3.2576,0.0895999999999999
134,STM32,1,0.6256851105382785,1.0,100,0.0786,-3.2213,0.1682,3.2457000000000003,0.0895999999999999
135,STM32,1,0.6256854952509692,1.0,100,0.0786,-3.2375,0.1682,3.2369,0.0895999999999999
136,STM32,1,0.6256828738749277,1.0,100,0.0786,-3.252,0.1682,3.2418,0.0895999999999999
137,STM32,1,0.6256798383784339,1.0,100,0.0786,-3.271,0.1682,3.2465,0.0895999999999999
138,STM32,1,0.6256792324570113,1.0,100,0.0786,-3.2869,0.1682,3.2421,0.0895999999999999
139,STM32,1,0.6256737209610325,1.0,100,0.0786,-3.309,0.1682,3.2561,0.0895999999999999
140,STM32,1,0.6256714091425766,1.0,100,0.0786,-3.3173,0.1682,3.2624,0.0895999999999999
141,STM32,1,0.8069594016852673,1.0,200,0.0683,-5.061400000000001,0.1779,5.6238,0.1096
142,STM32,1,0.807022754366346,1.0,200,0.0683,-5.154100000000001,0.1779,5.31,0.1096
143,STM32,1,0.807035230142561,1.0,200,0.0683,-5.1955,0.1779,5.238,0.1096
144,STM32,1,0.8070357629145071,1.0,200,0.0683,-5.2318,0.1779,5.2197000000000005,0.1096
145,STM32,1,0.8070403490366509,1.0,200,0.0683,-5.248,0.1779,5.1928,0.1096
146,STM32,1,0.8070404948763428,1.0,200,0.0683,-5.2654,0.1779,5.1845,0.1096
147,STM32,1,0.8070391868857483,1.0,200,0.0683,-5.2775,0.1779,5.1848,0.1096
148,STM32,1,0.8070325910747342,1.0,200,0.0683,-5.3077,0.1779,5.1999,0.1096
149,STM32,1,0.8070319149004683,1.0,200,0.0683,-5.3354,0.1779,5.1906,0.1096
150,STM32,1,0.8070253472333784,1.0,200,0.0683,-5.346500000000001,0.1779,5.214,0.1096
151,STM32,1,0.5820057843198652,1.0,20,0.0683,-1.1809,0.1584,0.95494,0.0901
152,STM32,1,0.5820020953824808,1.0,20,0.0683,-1.1878000000000002,0.1584,0.96779,0.0901
153,STM32,1,0.582000877262461,1.0,20,0.0683,-1.1831,0.1584,0.97511,0.0901
154,STM32,1,0.5820006087312976,1.0,20,0.0683,-1.1774,0.1584,0.97878,0.0901
155,STM32,1,0.5819953807166584,1.0,20,0.0683,-1.1826,0.1584,0.99901,0.0901
156,STM32,1,0.5819971778372041,1.0,20,0.0683,-1.1603,0.1584,1.0011,0.0901
157,STM32,1,0.4919630021515698,1.0,20,0.0683,-1.199,0.1682,0.99102,0.0998999999999999
158,STM32,1,0.4919613421612458,1.0,20,0.0683,-1.1983,0.1682,0.99848,0.0998999999999999
159,STM32,1,0.49195870452096346,1.0,20,0.0683,-1.2018,0.1682,1.0083,0.0998999999999999
160,STM32,1,0.4461508598736165,1.0,20,0.0786,-1.1909999999999998,0.1682,1.0221,0.0895999999999999
161,STM32,1,1.1155288340386909,1.0,400,0.0585,-8.168000000000001,0.198,8.5604,0.1395
162,STM32,1,1.2055877295086834,1.0,400,0.0585,-8.3123,0.1882,8.3833,0.1297
163,STM32,1,1.2055849565919232,1.0,400,0.0585,-8.3809,0.1882,8.365,0.1297
164,STM32,1,1.205582884449105,1.0,400,0.0585,-8.4329,0.1882,8.351,0.1297
165,STM32,1,1.2055708816735868,1.0,400,0.0585,-8.464899999999998,0.1882,8.3886,0.1297
166,STM32,1,1.2055624026221545,1.0,400,0.0585,-8.5008,0.1882,8.4093,0.1297
167,STM32,1,1.2055591016806861,1.0,400,0.0585,-8.5326,0.1882,8.4095,0.1297
168,STM32,1,1.205552195664472,1.0,400,0.0585,-8.5588,0.1882,8.427700000000002,0.1297
169,STM32,1,1.2055449163414946,1.0,400,0.0585,-8.5764,0.1882,8.4513,0.1297
170,STM32,1,1.2055403792342239,1.0,400,0.0585,-8.600999999999999,0.1882,8.46,0.1297
171,STM32,1,0.5134744495484522,1.0,50,0.0786,-1.9737,0.1682,1.8541,0.0895999999999999
172,STM32,1,0.559279318810058,1.0,50,0.0683,-1.9825,0.1682,1.854,0.0998999999999999
173,STM32,1,0.5134725372083837,1.0,50,0.0786,-1.9942,0.1682,1.8533,0.0895999999999999
174,STM32,1,0.5134726418948825,1.0,50,0.0786,-2.0086,0.1682,1.8465,0.0895999999999999
175,STM32,1,0.5134734042906784,1.0,50,0.0786,-1.9948,0.1682,1.8493,0.0895999999999999
176,STM32,1,0.5134700228306441,1.0,50,0.0786,-2.0165,0.1682,1.8543,0.0895999999999999
177,STM32,1,0.5134659506759739,1.0,50,0.0786,-2.02,0.1682,1.8703,0.0895999999999999
178,STM32,1,0.5134634400583541,1.0,50,0.0786,-2.0155,0.1682,1.8831,0.0895999999999999
179,STM32,1,0.5134649435805833,1.0,50,0.0786,-2.0185,0.1682,1.8753,0.0895999999999999
180,STM32,1,0.5134606768813965,1.0,50,0.0786,-2.0332,0.1682,1.8872,0.0895999999999999
231,STM32,1,0.29595008783936205,5.0,100,0.0482,-143.75,0.2278,142.53,0.1796
232,STM32,1,0.29591461916238804,5.0,100,0.0482,-146.41,0.2278,141.51,0.1796
233,STM32,1,0.2959318079308566,5.0,100,0.0482,-147.24,0.2278,141.07,0.1796
234,STM32,1,0.2960048847779557,5.0,100,0.0482,-147.66,0.2278,140.57,0.1796
235,STM32,1,0.295973781048524,5.0,100,0.0482,-148.1,0.2278,140.51,0.1796
236,STM32,1,0.2957511658184028,5.0,100,0.0482,-148.37,0.2278,141.35,0.1796
237,STM32,1,0.29573273479978585,5.0,100,0.0482,-149.48000000000002,0.2278,140.94,0.1796
238,STM32,1,0.2955974073195058,5.0,100,0.0482,-149.26,0.2278,141.61999999999998,0.1796
239,STM32,1,0.29558445103010234,5.0,100,0.0482,-149.5,0.2278,141.57,0.1796
240,STM32,1,0.2955555421376322,5.0,100,0.0482,-150.1,0.2278,141.43,0.1796
241,STM32,1,0.4015871958068199,5.0,200,0.0287,-208.2,0.2479,207.8,0.2192
242,STM32,1,0.40174689767397953,5.0,200,0.0287,-209.52,0.2479,206.53,0.2192
243,STM32,1,0.4016310493717331,5.0,200,0.0287,-210.72,0.2479,206.5,0.2192
244,STM32,1,0.4015899424922438,5.0,200,0.0287,-210.6,0.2479,206.73,0.2192
245,STM32,1,0.40160668734804394,5.0,200,0.0287,-210.89,0.2479,206.53,0.2192
246,STM32,1,0.4015714467121505,5.0,200,0.0287,-210.69,0.2479,206.77,0.2192
247,STM32,1,0.4015828648096267,5.0,200,0.0287,-212.03,0.2479,206.13,0.2192
248,STM32,1,0.40153120607083936,5.0,200,0.0287,-211.31,0.2479,206.67,0.2192
249,STM32,1,0.401483696601704,5.0,200,0.0287,-212.5,0.2479,206.35,0.2192
250,STM32,1,0.40108391029658785,5.0,200,0.0287,-213.73,0.2479,207.53,0.2192
251,STM32,1,0.5307790148039333,5.0,20,0.0683,-5.9522,0.1779,4.9245,0.1096
252,STM32,1,0.530772954445627,5.0,20,0.0683,-5.9749,0.1779,4.9406,0.1096
253,STM32,1,0.5307470748424743,5.0,20,0.0683,-6.1248000000000005,0.1779,4.986,0.1096
254,STM32,1,0.436095784863331,5.0,20,0.0683,-6.1083,0.1882,5.101999999999999,0.1199
255,STM32,1,0.43611830858937,5.0,20,0.0683,-5.866899999999999,0.1882,5.1114,0.1199
256,STM32,1,0.5307785195820218,5.0,20,0.0683,-6.055700000000001,0.1779,4.881,0.1096
257,STM32,1,0.4360938661707468,5.0,20,0.0683,-6.0395,0.1882,5.1406,0.1199
258,STM32,1,0.4360737497260949,5.0,20,0.0683,-6.034199999999999,0.1882,5.2296,0.1199
259,STM32,1,0.39024335557756135,5.0,20,0.0786,-6.0954,0.1882,5.3088,0.1096
260,STM32,1,0.3902253719124001,5.0,20,0.0786,-6.0899,0.1882,5.3887,0.1096
261,STM32,1,0.5862285557039615,5.0,400,-0.0011,-292.66,0.2881,296.41,0.2892
262,STM32,1,0.6812520887744205,5.0,400,-0.0011,-294.90000000000003,0.2778,293.71,0.2789
263,STM32,1,0.7272633640433317,5.0,400,-0.0115,-297.6,0.2778,293.55,0.2893
264,STM32,1,0.7268166693766065,5.0,400,-0.0115,-299.81,0.2778,294.5,0.2893
265,STM32,1,0.7265698616808443,5.0,400,-0.0115,-300.77,0.2778,295.14,0.2893
266,STM32,1,0.7264629067469843,5.0,400,-0.0115,-301.18,0.2778,295.42,0.2893
267,STM32,1,0.726306151934424,5.0,400,-0.0115,-302.19,0.2778,295.65,0.2893
268,STM32,1,0.7258677279414002,5.0,400,-0.0115,-303.48,0.2778,296.97,0.2893
269,STM32,1,0.7260254137536151,5.0,400,-0.0115,-304.23,0.2778,295.96,0.2893
270,STM32,1,0.7257643612047615,5.0,400,-0.0115,-304.48999999999995,0.2778,296.97,0.2893
271,STM32,1,0.3612721212757203,5.0,50,0.0585,-9.8024,0.2083,9.2635,0.1498
272,STM32,1,0.3612710198223377,5.0,50,0.0585,-9.8524,0.2083,9.2462,0.1498
273,STM32,1,0.3612646807016768,5.0,50,0.0585,-9.8717,0.2083,9.265,0.1498
274,STM32,1,0.3612532635947922,5.0,50,0.0585,-9.8914,0.2083,9.3055,0.1498
275,STM32,1,0.45589867752581525,5.0,50,0.0585,-9.9195,0.198,9.2097,0.1395
276,STM32,1,0.3612577873552278,5.0,50,0.0585,-9.9039,0.2083,9.2805,0.1498
277,STM32,1,0.4559139406116547,5.0,50,0.0585,-9.7749,0.198,9.2077,0.1395
278,STM32,1,0.3612851713127039,5.0,50,0.0585,-9.7486,0.2083,9.231,0.1498
279,STM32,1,0.36127374326496375,5.0,50,0.0585,-9.8648,0.2083,9.229,0.1498
280,STM32,1,0.36124697623255037,5.0,50,0.0585,-9.9517,0.2083,9.306,0.1498
331,STM32,1,0.4455462938855426,10.0,100,-0.0212,-287.28,0.2577,277.45,0.2789
332,STM32,1,0.44580395252160376,10.0,100,-0.0212,-289.48,0.2577,275.37,0.2789
333,STM32,1,0.4458052410852915,10.0,100,-0.0212,-290.42,0.2577,274.95,0.2789
334,STM32,1,0.44585748856841484,10.0,100,-0.0212,-289.66,0.2577,275.06,0.2789
335,STM32,1,0.5358429562150318,10.0,100,-0.0212,-291.05,0.2479,274.65,0.2691
336,STM32,1,0.5359156415477484,10.0,100,-0.0212,-290.67999999999995,0.2479,274.5,0.2691
337,STM32,1,0.535642508171638,10.0,100,-0.0212,-290.98999999999995,0.2479,275.54,0.2691
338,STM32,1,0.44535255379123967,10.0,100,-0.0212,-292.87,0.2577,275.82000000000005,0.2789
339,STM32,1,0.4453750477308735,10.0,100,-0.0212,-292.31,0.2577,275.97,0.2789
340,STM32,1,0.4450669388495217,10.0,100,-0.0212,-293.37,0.2577,276.83,0.2789
341,STM32,1,0.3972430209120844,10.0,200,-0.0511,-381.95,0.2979,396.31,0.349
342,STM32,1,0.44416327123746757,10.0,200,-0.0614,-390.18,0.2979,387.88,0.3593
343,STM32,1,0.5341134613523176,10.0,200,-0.0614,-395.09,0.2881,386.0700000000001,0.3495
344,STM32,1,0.5342607988136318,10.0,200,-0.0614,-397.37,0.2881,384.43,0.3495
345,STM32,1,0.5336252313958469,10.0,200,-0.0614,-400.11,0.2881,385.96,0.3495
346,STM32,1,0.5336857742790524,10.0,200,-0.0614,-400.97,0.2881,385.32,0.3495
347,STM32,1,0.5334334486797592,10.0,200,-0.0614,-402.12,0.2881,385.9,0.3495
348,STM32,1,0.5332839411078643,10.0,200,-0.0614,-402.22,0.2881,386.5,0.3495
349,STM32,1,0.5331268071441118,10.0,200,-0.0614,-403.71,0.2881,386.52,0.3495
350,STM32,1,0.5329025241991105,10.0,200,-0.0614,-403.52,0.2881,387.57,0.3495
351,STM32,1,0.5624104390036951,10.0,20,0.0482,-125.71,0.198,101.87,0.1498
352,STM32,1,0.5618908863069831,10.0,20,0.0482,-125.57,0.198,104.17,0.1498
353,STM32,1,0.5617682531246767,10.0,20,0.0482,-126.36,0.198,104.35,0.1498
354,STM32,1,0.6048967491676953,10.0,20,0.0384,-127.3,0.198,105.89,0.1596
355,STM32,1,0.6049572736029638,10.0,20,0.0384,-130.02,0.198,104.43,0.1596
356,STM32,1,0.6049876251147578,10.0,20,0.0384,-127.41,0.198,105.45,0.1596
357,STM32,1,0.6049759666130106,10.0,20,0.0384,-127.66,0.198,105.39,0.1596
358,STM32,1,0.604624642363843,10.0,20,0.0384,-129.8,0.198,105.96,0.1596
359,STM32,1,0.6042645448515757,10.0,20,0.0384,-128.17,0.198,108.23,0.1596
360,STM32,1,0.6035973218558969,10.0,20,0.0384,-129.11,0.198,110.69,0.1596
361,STM32,1,0.5055215574900962,10.0,50,0.0086,-197.44,0.2278,185.79,0.2192
362,STM32,1,0.5946412297261952,10.0,50,0.0086,-199.81,0.2181,184.72,0.2095
363,STM32,1,0.594571035172219,10.0,50,0.0086,-200.7,0.2181,184.63,0.2095
364,STM32,1,0.5942627166977232,10.0,50,0.0086,-202.76,0.2181,185.05,0.2095
365,STM32,1,0.5941398307479554,10.0,50,0.0086,-203.87,0.2181,185.09,0.2095
366,STM32,1,0.5049087554210409,10.0,50,0.0086,-204.97,0.2278,185.11,0.2192
