Voltage(V),Current(uA)
-0.40001,-35.867852
-0.390003,-31.0861
-0.379995,-27.008924
-0.369987,-23.429656
-0.359979,-20.310712
-0.349972,-17.633304
-0.339964,-15.341069
-0.329956,-13.405821
-0.319948,-11.771194
-0.30994,-10.427794
-0.299933,-9.319254
-0.289925,-8.40048
-0.279917,-7.66114
-0.269909,-7.045806
-0.259902,-6.543205
-0.249894,-6.122336
-0.239886,-5.773803
-0.229878,-5.482577
-0.21987,-5.231746
-0.209863,-5.022251
-0.199855,-4.851272
-0.189847,-4.696265
-0.179839,-4.574137
-0.169832,-4.457646
-0.159824,-4.362763
-0.149816,-4.270698
-0.139808,-4.186148
-0.129800904,-4.09972
-0.11979312,-4.017988
-0.109785344,-3.934378
-0.09977756,-3.854525
-0.089769784,-3.771855
-0.079762,-3.687305
-0.069754224,-3.600876
-0.05974644,-3.513508
-0.049738664,-3.422383
-0.039730884,-3.319984
-0.029723104,-3.213827
-0.019715326,-3.081366
-0.009707546,-2.93951
0.000300233,-2.765714
0.010308012,-2.546824
0.020315792,-2.263113
0.03032357,-1.151754
0.040331348,-1.097266
0.050339128,-0.656669
0.060346908,0.194746
0.070354688,1.381072
0.080362472,2.882486
0.090370248,4.931125
0.100378032,7.362398
0.110385808,10.194812
0.120393584,13.352273
0.13040136,16.697622
0.140409,20.04297
0.150416,23.175066
0.160424,25.85623
0.170432,27.882604
0.18044,29.075694
0.190448,29.348134
0.200455,28.840836
0.210463,27.760478
0.220471,26.370104
0.230479,24.913972
0.240486,23.514204
0.250494,22.24596
0.260502,21.109236
0.27051,20.104034
0.280518,19.22096
0.290525,18.43183
0.300533,17.717854
0.310541,17.060246
0.320549,16.44961
0.330556,15.885945
0.340564,15.378647
0.350572,14.93711
0.36058,14.53315
0.370588,14.176163
0.380595,13.847358
0.390603,13.556131
0.400611,13.283694
0.410619,13.039439
0.420626,12.823368
0.430634,12.626085
0.440642,12.456986
0.45065,12.297281
0.460658,12.156365
0.470665,12.024843
0.480673,11.913989
0.490681,11.817227
0.500689,11.735495
0.510696,11.661279
0.520704,11.603974
0.530712,11.557941
0.54072,11.526
0.550728,11.505332
0.560735,11.494998
0.570743,11.499696
0.580751,11.518484
0.590759,11.547607
0.600766,11.594579
0.610774,11.652825
0.620782,11.724222
0.63079,11.820045
0.640798,11.92902
0.650805,12.059603
0.660813,12.218368
0.670821,12.397801
0.680829,12.605418
0.690837,12.851551
0.700844,13.133384
0.690837,10.737809
0.680829,9.416955
0.670821,8.454029
0.660813,7.702476
0.650805,7.071171
0.640798,6.542266
0.63079,6.08194
0.620782,5.685496
0.610774,5.334145
0.600766,5.019432
0.590759,4.7376
0.580751,4.483951
0.570743,4.252849
0.560735,4.046171
0.550728,3.849828
0.54072,3.679789
0.530712,3.508811
0.520704,3.35944
0.510696,3.218524
0.500689,3.087002
0.490681,2.969572
0.480673,2.851203
0.470665,2.742227
0.460658,2.645465
0.45065,2.544945
0.440642,2.449122
0.430634,2.362693
0.420626,2.277204
0.410619,2.198291
0.400611,2.122197
0.390603,2.043283
0.380595,1.966249
0.370588,1.895791
0.36058,1.822515
0.350572,1.754875
0.340564,1.682538
0.330556,1.605504
0.320549,1.520954
0.310541,1.426071
0.300533,1.316156
0.290525,1.189332
0.280518,1.039021
0.27051,0.864285
0.260502,0.642671
0.250494,0.36206
0.240486,-0.018037266
0.230479,-0.523456
0.220471,-1.247389
0.210463,-2.229011
0.200455,-3.056001
0.190448,-5.262747
0.18044,-7.430037
0.170432,-10.034168
0.160424,-13.017832
0.150416,-16.272055
0.140409,-19.643708
0.13040136,-22.912024
0.120393584,-25.87314
0.110385808,-28.295958
0.100378032,-29.93998
0.090370248,-30.710322
0.080362472,-30.588194
0.070354688,-29.752092
0.060346908,-28.465058
0.050339128,-26.990136
0.040331348,-25.505818
0.03032357,-24.153024
0.020315792,-22.93175
0.010308012,-21.851394
0.000300233,-20.90256
-0.009707546,-20.066458
-0.019715326,-19.352482
-0.029723104,-18.723056
-0.039730884,-18.168786
-0.049738664,-17.680276
-0.05974644,-17.23874
-0.069754224,-16.844174
-0.079762,-16.487187
-0.089769784,-16.167778
-0.09977756,-15.87655
-0.109785344,-15.622901
-0.11979312,-15.416224
-0.129800904,-15.275309
-0.139808,-15.190759
-0.149816,-15.059237
-0.159824,-14.833771
-0.169832,-14.551939
-0.179839,-14.364051
-0.189847,-14.194951
-0.199855,-14.054035
-0.209863,-13.941302
-0.21987,-13.856753
-0.229878,-13.80978
-0.239886,-13.753414
-0.249894,-13.772203
-0.259902,-13.828569
-0.269909,-13.950696
-0.279917,-14.157374
-0.289925,-14.467389
-0.299933,-14.899532
-0.30994,-15.481986
-0.319948,-16.289905
-0.329956,-17.426628
-0.339964,-18.713662
-0.349972,-20.432838
-0.359979,-22.555974
-0.369987,-25.139438
-0.379995,-28.267776
-0.390003,-31.90341
