DAC_Value,DAC_Hex,Measured_Voltage_V
0,0x000,0.015511
32,0x020,0.019209
64,0x040,0.038593
96,0x060,0.058089
128,0x080,0.077548
160,0x0A0,0.097078
192,0x0C0,0.116511
224,0x0E0,0.136007
256,0x100,0.155208
288,0x120,0.174725
320,0x140,0.194156
352,0x160,0.213669
384,0x180,0.233140
416,0x1A0,0.252681
448,0x1C0,0.272120
480,0x1E0,0.291636
512,0x200,0.311252
544,0x220,0.330778
576,0x240,0.350252
608,0x260,0.369779
640,0x280,0.389284
672,0x2A0,0.408832
704,0x2C0,0.428300
736,0x2E0,0.447809
768,0x300,0.467002
800,0x320,0.486549
832,0x340,0.506019
864,0x360,0.525550
896,0x380,0.545046
928,0x3A0,0.564589
960,0x3C0,0.584048
992,0x3E0,0.603569
1024,0x400,0.623177
1056,0x420,0.642712
1088,0x440,0.662177
1120,0x460,0.681680
1152,0x480,0.701205
1184,0x4A0,0.720734
1216,0x4C0,0.740206
1248,0x4E0,0.759720
1280,0x500,0.778985
1312,0x520,0.798522
1344,0x540,0.818001
1376,0x560,0.837518
1408,0x580,0.857055
1440,0x5A0,0.876572
1472,0x5C0,0.896043
1504,0x5E0,0.915564
1536,0x600,0.934994
1568,0x620,0.954503
1600,0x640,0.973989
1632,0x660,0.993501
1664,0x680,1.013017
1696,0x6A0,1.032510
1728,0x6C0,1.051988
1760,0x6E0,1.071481
1792,0x700,1.090895
1824,0x720,1.110393
1856,0x740,1.129879
1888,0x760,1.149394
1920,0x780,1.168916
1952,0x7A0,1.188406
1984,0x7C0,1.207842
2016,0x7E0,1.227347
2048,0x800,1.246828
2080,0x820,1.266334
2112,0x840,1.285839
2144,0x860,1.305323
2176,0x880,1.324870
2208,0x8A0,1.344353
2240,0x8C0,1.363860
2272,0x8E0,1.383355
2304,0x900,1.402789
2336,0x920,1.422270
2368,0x940,1.441773
2400,0x960,1.461258
2432,0x980,1.480745
2464,0x9A0,1.500222
2496,0x9C0,1.519709
2528,0x9E0,1.539199
2560,0xA00,1.558600
2592,0xA20,1.578089
2624,0xA40,1.597603
2656,0xA60,1.617089
2688,0xA80,1.636632
2720,0xAA0,1.656098
2752,0xAC0,1.675599
2784,0xAE0,1.695086
2816,0xB00,1.714424
2848,0xB20,1.733899
2880,0xB40,1.753413
2912,0xB60,1.772900
2944,0xB80,1.792446
2976,0xBA0,1.811910
3008,0xBC0,1.831426
3040,0xBE0,1.850901
3072,0xC00,1.870317
3104,0xC20,1.889780
3136,0xC40,1.909303
3168,0xC60,1.928785
3200,0xC80,1.948350
3232,0xCA0,1.967815
3264,0xCC0,1.987346
3296,0xCE0,2.006836
3328,0xD00,2.026225
3360,0xD20,2.045723
3392,0xD40,2.065303
3424,0xD60,2.084863
3456,0xD80,2.104584
3488,0xDA0,2.124096
3520,0xDC0,2.143695
3552,0xDE0,2.163232
3584,0xE00,2.182724
3616,0xE20,2.202225
3648,0xE40,2.221806
3680,0xE60,2.241332
3712,0xE80,2.260981
3744,0xEA0,2.280515
3776,0xEC0,2.300102
3808,0xEE0,2.319642
3840,0xF00,2.339039
3872,0xF20,2.358523
3904,0xF40,2.378082
3936,0xF60,2.397601
3968,0xF80,2.417197
4000,0xFA0,2.436654
4032,0xFC0,2.456211
4064,0xFE0,2.475696
