# CV Measurement Data
# Generated: 2025-08-16T02:26:33.791535
# Parameters: {"begin": -0.4, "upper": 0.7, "lower": -0.4, "rate": 0.1, "cycles": 1, "measurement_type": "CV", "device_connected": true}
# Columns: timestamp,potential,current,cycle,direction
timestamp,potential,current,cycle,direction
1755285918.6129751,-0.4012,-3.6406e-05,1,reverse
1755285918.6134753,-0.4012,-3.6406e-05,1,reverse
1755285918.6138647,-0.4012,-3.5916e-05,1,reverse
1755285918.716174,-0.4018,-3.5716e-05,1,reverse
1755285918.8178747,-0.4018,-3.6132e-05,1,reverse
1755285918.9197621,-0.4018,-3.5543e-05,1,reverse
1755285919.021852,-0.4018,-3.5485e-05,1,reverse
1755285919.1237996,-0.4018,-3.5617e-05,1,reverse
1755285919.2257624,-0.4018,-3.5765e-05,1,reverse
1755285919.3276854,-0.4018,-3.5334e-05,1,reverse
1755285919.4298956,-0.4018,-3.499e-05,1,reverse
1755285919.532159,-0.4018,-3.5884e-05,1,reverse
1755285919.6339257,-0.4018,-3.5591e-05,1,reverse
1755285919.7357516,-0.4018,-3.5445e-05,1,reverse
1755285919.837562,-0.3903,-3.208e-05,1,forward
1755285919.9387488,-0.3805,-2.9463e-05,1,forward
1755285920.0408485,-0.3708,-2.6409e-05,1,forward
1755285920.1427615,-0.3604,-2.4505e-05,1,forward
1755285920.245346,-0.3507,-2.1859e-05,1,forward
1755285920.3469043,-0.3409,-2.0866e-05,1,forward
1755285920.4476771,-0.3306,-1.8181e-05,1,forward
1755285920.5491772,-0.3208,-1.6858e-05,1,forward
1755285920.651525,-0.3105,-1.4503e-05,1,forward
1755285920.7533462,-0.3007,-1.262e-05,1,forward
1755285920.8548508,-0.291,-1.1446e-05,1,forward
1755285920.9560964,-0.2806,-9.5227e-06,1,forward
1755285921.0580616,-0.2709,-8.6919e-06,1,forward
1755285921.1599743,-0.2606,-7.0764e-06,1,forward
1755285921.2621808,-0.2508,-5.0406e-06,1,forward
1755285921.3639367,-0.2411,-3.841e-06,1,forward
1755285921.4659524,-0.2307,-2.6294e-06,1,forward
1755285921.568298,-0.221,-1.5746e-06,1,forward
1755285921.6697397,-0.2112,-5.3948e-07,1,forward
1755285921.7710588,-0.2009,1.749e-06,1,forward
1755285921.8731484,-0.1911,2.6364e-06,1,forward
1755285921.9752316,-0.1808,3.8284e-06,1,forward
1755285922.0768874,-0.171,4.6754e-06,1,forward
1755285922.178159,-0.1613,5.7013e-06,1,forward
1755285922.2798467,-0.1509,6.7792e-06,1,forward
1755285922.3811266,-0.1412,7.8523e-06,1,forward
1755285922.483079,-0.1308,9.0759e-06,1,forward
1755285922.584726,-0.1211,1.0173e-05,1,forward
1755285922.5853739,-0.1114,1.1459e-05,1,forward
1755285922.6869302,-0.101,1.3131e-05,1,forward
1755285922.7891493,-0.0913,1.4583e-05,1,forward
1755285922.8911383,-0.0815,1.6287e-05,1,forward
1755285922.9923487,-0.0712,1.8534e-05,1,forward
1755285923.093887,-0.0614,2.05e-05,1,forward
1755285923.195381,-0.0511,2.3214e-05,1,forward
1755285923.297395,-0.0413,2.5825e-05,1,forward
1755285923.3994193,-0.0316,2.8808e-05,1,forward
