# Fair PLS Comparison Data - 10mM
# Generated: 2025-08-28 19:38:23
# Concentration: 10mM
# Total samples: 142
# Palmsens samples: 100
# STM32 samples: 42
# Device codes: 0=Palmsens, 1=STM32
# Detector: Enhanced V4 Improved
#
device,device_code,concentration,ox_voltage,ox_current,red_voltage,red_current,peak_separation,file_path
Palmsens,0,10mM,0.010308012,-260.976,0.27051,248.842,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_02.csv
Palmsens,0,10mM,0.010308012,-261.45,0.27051,249.222,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_03.csv
Palmsens,0,10mM,0.010308012,-261.64,0.27051,249.032,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_04.csv
Palmsens,0,10mM,0.010308012,-262.019,0.27051,249.411,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_05.csv
Palmsens,0,10mM,0.010308012,-262.493,0.27051,249.696,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_06.csv
Palmsens,0,10mM,0.010308012,-262.304,0.27051,249.696,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_07.csv
Palmsens,0,10mM,0.010308012,-262.588,0.27051,249.885,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_08.csv
Palmsens,0,10mM,0.010308012,-262.683,0.27051,250.264,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_09.csv
Palmsens,0,10mM,0.010308012,-263.157,0.27051,250.833,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_10.csv
Palmsens,0,10mM,0.010308012,-264.2,0.27051,251.686,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_11.csv
Palmsens,0,10mM,-0.039730884,-230.585,0.290525,216.409,0.330255884,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_02.csv
Palmsens,0,10mM,-0.039730884,-230.538,0.290525,216.597,0.330255884,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_03.csv
Palmsens,0,10mM,-0.039730884,-230.501,0.290525,216.729,0.330255884,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_04.csv
Palmsens,0,10mM,-0.039730884,-230.369,0.290525,216.503,0.330255884,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_05.csv
Palmsens,0,10mM,-0.039730884,-229.918,0.290525,216.559,0.330255884,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_06.csv
Palmsens,0,10mM,-0.039730884,-229.721,0.290525,216.381,0.330255884,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_07.csv
Palmsens,0,10mM,-0.039730884,-229.815,0.290525,216.212,0.330255884,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_08.csv
Palmsens,0,10mM,-0.039730884,-230.256,0.290525,216.268,0.330255884,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_09.csv
Palmsens,0,10mM,-0.039730884,-230.726,0.290525,216.616,0.330255884,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_10.csv
Palmsens,0,10mM,-0.039730884,-231.412,0.290525,217.039,0.330255884,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_11.csv
Palmsens,0,10mM,0.010308012,-256.142,0.290525,244.564,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E3_scan_02.csv
Palmsens,0,10mM,0.010308012,-256.237,0.290525,244.808,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E3_scan_03.csv
Palmsens,0,10mM,0.010308012,-256.237,0.290525,244.865,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E3_scan_04.csv
Palmsens,0,10mM,0.010308012,-255.763,0.290525,245.015,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E3_scan_05.csv
Palmsens,0,10mM,0.010308012,-256.426,0.290525,245.034,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E3_scan_06.csv
Palmsens,0,10mM,0.010308012,-256.047,0.290525,244.799,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E3_scan_07.csv
Palmsens,0,10mM,0.010308012,-255.573,0.290525,244.743,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E3_scan_08.csv
Palmsens,0,10mM,0.010308012,-256.331,0.290525,244.714,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E3_scan_09.csv
Palmsens,0,10mM,0.010308012,-256.426,0.290525,244.94,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E3_scan_10.csv
Palmsens,0,10mM,0.010308012,-257.374,0.290525,245.184,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E3_scan_11.csv
Palmsens,0,10mM,-0.029723104,-224.432,0.290525,211.862,0.320248104,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E4_scan_02.csv
Palmsens,0,10mM,-0.029723104,-224.47,0.290525,212.003,0.320248104,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E4_scan_03.csv
Palmsens,0,10mM,-0.029723104,-224.545,0.290525,211.872,0.320248104,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E4_scan_04.csv
Palmsens,0,10mM,-0.029723104,-224.535,0.290525,211.994,0.320248104,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E4_scan_05.csv
Palmsens,0,10mM,-0.029723104,-224.451,0.290525,211.975,0.320248104,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E4_scan_06.csv
Palmsens,0,10mM,-0.019715326,-223.511,0.290525,212.031,0.31024032599999996,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E4_scan_07.csv
Palmsens,0,10mM,-0.019715326,-223.699,0.290525,212.323,0.31024032599999996,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E4_scan_08.csv
