FileName: Pipot_Ferro_0_5mM_50mVpS_E4_scan_5.csv
V,A
-0.3805,-1.6637e-05
-0.3903,-1.6726e-05
-0.4006,-1.7134e-05
-0.3903,-1.2490e-05
-0.3805,-1.0087e-05
-0.3708,-8.3732e-06
-0.3604,-6.9179e-06
-0.3507,-6.1085e-06
-0.3409,-5.4793e-06
-0.3306,-4.5576e-06
-0.3208,-4.0983e-06
-0.3105,-3.3796e-06
-0.3007,-2.7661e-06
-0.2910,-2.7334e-06
-0.2806,-2.2376e-06
-0.2709,-2.0950e-06
-0.2606,-1.7220e-06
-0.2508,-1.5448e-06
-0.2411,-1.5678e-06
-0.2307,-1.1377e-06
-0.2210,-6.9977e-07
-0.2112,-1.0047e-06
-0.2009,-6.7438e-07
-0.1911,-6.8648e-07
-0.1808,-4.2141e-07
-0.1710,-3.4024e-07
-0.1613,-1.7537e-08
-0.1509,1.2826e-07
-0.1412,2.0525e-07
-0.1308,2.2454e-07
-0.1211,7.9731e-07
-0.1114,6.4789e-07
-0.1010,1.5724e-06
-0.0913,2.5262e-06
-0.0815,2.5299e-06
-0.0712,2.6034e-06
-0.0614,2.9196e-06
-0.0511,3.8159e-06
-0.0413,4.6156e-06
-0.0316,5.8494e-06
-0.0212,7.4470e-06
-0.0115,9.0320e-06
-0.0011,1.0720e-05
0.0086,1.2131e-05
0.0183,1.3679e-05
0.0287,1.5214e-05
0.0384,1.5822e-05
0.0482,1.4721e-05
0.0585,1.6429e-05
0.0683,1.6325e-05
0.0786,1.6345e-05
0.0884,1.5358e-05
0.0981,1.4851e-05
0.1085,1.4273e-05
0.1182,1.3730e-05
0.1280,1.3396e-05
0.1383,1.2924e-05
0.1481,1.2028e-05
0.1584,1.2159e-05
0.1682,1.1839e-05
0.1779,1.1417e-05
0.1882,1.1123e-05
0.1980,1.0888e-05
0.2083,9.7485e-06
0.2181,1.0280e-05
0.2278,1.0175e-05
0.2382,1.0458e-05
0.2479,9.6453e-06
0.2577,9.6173e-06
0.2680,9.3660e-06
0.2778,9.4432e-06
0.2881,9.1900e-06
0.2979,9.4476e-06
0.3076,9.2537e-06
0.3180,8.8123e-06
0.3277,8.8017e-06
0.3380,8.7714e-06
0.3478,8.9260e-06
0.3575,8.7912e-06
0.3679,8.5040e-06
0.3776,8.4766e-06
0.3874,8.2412e-06
0.3977,8.2178e-06
0.4075,8.3012e-06
0.4178,7.5045e-06
0.4276,8.2657e-06
0.4373,7.8510e-06
0.4477,8.1634e-06
0.4574,7.8510e-06
0.4678,7.2013e-06
0.4775,8.3827e-06
0.4872,7.8912e-06
0.4976,8.3788e-06
0.5073,8.6175e-06
0.5171,8.4808e-06
0.5274,8.5706e-06
0.5372,8.7459e-06
0.5475,9.0789e-06
0.5573,8.9869e-06
0.5670,9.4155e-06
0.5774,9.6586e-06
0.5871,9.7947e-06
0.5975,1.0119e-05
0.6072,1.0496e-05
0.6169,1.0827e-05
0.6273,1.1155e-05
0.6370,1.1522e-05
0.6468,1.1991e-05
0.6571,1.2459e-05
0.6669,1.3045e-05
0.6772,1.3897e-05
0.6870,1.4620e-05
0.6967,1.5453e-05
0.6870,1.1907e-05
0.6772,9.6397e-06
0.6669,7.8801e-06
0.6571,6.6851e-06
0.6468,5.6694e-06
0.6370,4.8109e-06
0.6273,4.4565e-06
0.6169,3.7188e-06
0.6072,3.1973e-06
0.5975,2.8860e-06
0.5871,2.4404e-06
0.5774,2.2202e-06
0.5670,1.7500e-06
0.5573,1.6485e-06
0.5475,1.3430e-06
0.5372,1.1982e-06
0.5274,1.1179e-06
0.5171,8.3227e-07
0.5073,7.6690e-07
0.4976,7.2930e-07
0.4872,5.0260e-07
0.4775,3.9950e-07
0.4678,2.9545e-07
0.4574,1.3371e-07
0.4477,1.4700e-07
0.4373,-1.5868e-08
0.4276,3.2477e-08
0.4178,-4.4256e-08
0.4075,-1.8707e-07
0.3977,-5.8431e-07
0.3874,-2.4829e-07
0.3776,-2.6225e-07
0.3679,-3.7658e-07
0.3575,-7.0645e-07
0.3478,-3.7673e-07
0.3380,-5.2800e-07
0.3277,-5.7074e-07
0.3180,-6.7669e-07
0.3076,-7.8373e-07
0.2979,-8.0012e-07
0.2881,-8.3853e-07
0.2778,-9.2950e-07
0.2680,-9.7048e-07
0.2577,-1.1026e-06
0.2479,-1.1476e-06
0.2382,-1.2743e-06
0.2278,-1.3665e-06
0.2181,-1.4165e-06
0.2083,-1.4338e-06
0.1980,-1.6312e-06
0.1882,-1.6264e-06
0.1779,-1.8284e-06
0.1682,-1.8903e-06
0.1584,-2.0242e-06
0.1481,-2.1879e-06
0.1383,-2.3495e-06
0.1280,-2.6270e-06
0.1182,-2.7468e-06
0.1085,-3.0983e-06
0.0981,-3.4907e-06
0.0884,-3.8840e-06
0.0786,-4.4691e-06
0.0683,-5.2885e-06
0.0585,-6.1749e-06
0.0482,-8.3798e-06
0.0384,-9.7826e-06
0.0287,-1.2494e-05
0.0183,-1.3689e-05
0.0086,-1.4788e-05
-0.0011,-1.6219e-05
-0.0115,-1.7666e-05
-0.0212,-1.8747e-05
-0.0316,-1.9584e-05
-0.0413,-1.9917e-05
-0.0511,-1.9865e-05
-0.0614,-1.9783e-05
-0.0712,-1.9296e-05
-0.0815,-1.9097e-05
-0.0913,-1.8536e-05
-0.1010,-1.8080e-05
-0.1114,-1.7755e-05
-0.1211,-1.7339e-05
-0.1308,-1.6886e-05
-0.1412,-1.6841e-05
-0.1509,-1.7799e-05
-0.1613,-1.9207e-05
-0.1710,-1.7041e-05
-0.1808,-1.6286e-05
-0.1911,-1.6172e-05
-0.2009,-1.5961e-05
-0.2112,-1.5890e-05
-0.2210,-1.5690e-05
-0.2307,-1.5766e-05
-0.2411,-1.6103e-05
-0.2508,-1.6310e-05
-0.2606,-1.6474e-05
-0.2709,-1.6821e-05
-0.2806,-1.6814e-05
-0.2910,-1.6947e-05
-0.3007,-1.7593e-05
-0.3105,-1.7496e-05
-0.3208,-1.7324e-05
-0.3306,-1.7909e-05
-0.3409,-1.6955e-05
-0.3507,-1.6638e-05
-0.3604,-1.6459e-05
-0.3708,-1.6618e-05
