FileName: Palmsens_0.5mM_CV_100mVpS_E1_scan_01.csv
V,uA
-0.40001,-85.981112
-0.390003,-53.560452
-0.379995,-42.658768
-0.369987,-34.496268
-0.359979,-29.160244
-0.349972,-24.754266
-0.339964,-21.109236
-0.329956,-18.09363
-0.319948,-15.566534
-0.30994,-13.480976
-0.299933,-11.771194
-0.289925,-10.362033
-0.279917,-9.225309
-0.269909,-8.291504
-0.259902,-7.535255
-0.249894,-6.917103
-0.239886,-6.394773
-0.229878,-5.960752
-0.21987,-5.589673
-0.209863,-5.2759
-0.199855,-4.998765
-0.189847,-4.750752
-0.179839,-4.537499
-0.169832,-4.341156
-0.159824,-4.164541
-0.149816,-4.017049
-0.139808,-3.878011
-0.129800904,-3.748369
-0.11979312,-3.619665
-0.109785344,-3.500356
-0.09977756,-3.375411
-0.089769784,-3.257041
-0.079762,-3.137732
-0.069754224,-3.028757
-0.05974644,-2.916024
-0.049738664,-2.816443
-0.039730884,-2.724378
-0.029723104,-2.641707
-0.019715326,-2.564673
-0.009707546,-2.48576
0.000300233,-2.399332
0.010308012,-2.286599
0.020315792,-2.148501
0.03032357,-1.970007
0.040331348,-1.734207
0.050339128,-1.420434
0.060346908,-1.006141
0.070354688,-0.440597
0.080362472,0.325046
0.090370248,1.351291
0.100378032,2.655799
0.110385808,4.251909
0.120393584,6.154277
0.13040136,8.251109
0.140409,10.368608
0.150416,12.305735
0.160424,13.873662
0.170432,14.926776
0.18034,15.375828
0.190448,15.386162
0.200455,15.006629
0.210463,14.411962
0.220471,13.722412
0.230479,13.023469
0.240486,12.354587
0.250494,11.745829
0.260502,11.196257
0.27051,10.71902
0.280518,10.29909
0.290525,9.936466
0.300533,9.61142
0.310541,9.312677
0.320549,9.034603
0.330556,8.776256
0.340564,8.561124
0.350572,8.367599
0.36058,8.200379
0.370588,8.057584
0.380595,7.928881
0.390603,7.815208
0.400611,7.722204
0.410619,7.633896
0.420626,7.55968
0.430634,7.493919
0.440642,7.440371
0.45065,7.403733
0.460658,7.360519
0.470665,7.330457
0.480673,7.315426
0.490681,7.304153
0.500689,7.304153
0.510696,7.312607
0.520704,7.327638
0.530712,7.355822
0.54072,7.394339
0.550728,7.423461
0.560735,7.481707
0.570743,7.544649
0.580751,7.616047
0.590759,7.696839
0.600766,7.79548
0.610774,7.902576
0.620782,8.022825
0.63079,8.166559
0.640798,8.322506
0.650805,8.502879
0.660813,8.70392
0.670821,8.935022
0.680829,9.199944
0.690837,9.508081
0.700844,9.855674
0.690837,7.47701
0.680829,6.200309
0.670821,5.314417
0.660813,4.642716
0.650805,4.09972
0.640798,3.658182
0.63079,3.283346
0.620782,2.97239
0.610774,2.698074
0.600766,2.457577
0.590759,2.249021
0.580751,2.062072
0.570743,1.89861
0.560735,1.74642
0.550728,1.610201
0.54072,1.49465
0.530712,1.37628
0.520704,1.2767
0.510696,1.177119
0.500689,1.09069
0.490681,1.00708
0.480673,0.946204
0.470665,0.878659
0.460658,0.808952
0.45065,0.749016
0.440642,0.691428
0.430634,0.636753
0.420626,0.583862
0.410619,0.535387
0.400611,0.489542
0.390603,0.443134
0.380595,0.400389
0.370588,0.35802
0.36058,0.318282
0.350572,0.276665
0.340564,0.23176
0.330556,0.186948
0.320549,0.135749
0.310541,0.075531048
0.300533,0.00667003
0.290525,-0.071773288
0.280518,-0.164026
0.27051,-0.270558
0.260502,-0.404429
0.250494,-0.578883
0.240486,-0.824265
0.230479,-1.164436
0.220471,-1.642142
0.210463,-2.306327
0.200455,-3.032139
0.190448,-4.414432
0.18034,-5.934448
0.170432,-7.722204
0.160424,-9.783337
0.150416,-11.903655
0.140409,-13.919695
0.13040136,-15.611629
0.120393584,-16.812232
0.110385808,-17.429446
0.100378032,-17.500844
0.090370248,-17.172978
0.080362472,-16.580192
0.070354688,-15.864338
0.060346908,-15.123119
0.050339128,-14.39881
0.040331348,-13.735565
0.03032357,-13.132444
0.020315792,-12.594144
0.010308012,-12.121606
0.000300233,-11.701675
-0.009707546,-11.335294
-0.019715326,-11.017763
-0.029723104,-10.740627
-0.039730884,-10.496372
-0.049738664,-10.276544
-0.05974644,-10.070806
-0.069754224,-9.89607
-0.079762,-9.725092
-0.089769784,-9.563508
-0.09977756,-9.428228
-0.109785344,-9.297646
-0.11979312,-9.179277
-0.129800904,-9.078757
-0.139808,-8.979175
-0.149816,-8.886171
-0.159824,-8.795045
-0.169832,-8.706738
-0.179839,-8.630643
-0.189847,-8.549851
-0.199855,-8.50194
-0.209863,-8.462483
-0.21987,-8.462483
-0.229878,-8.492546
-0.239886,-8.572397
-0.249894,-8.70392
-0.259902,-8.90496
-0.269909,-9.198065
-0.279917,-9.608601
-0.289925,-10.149719
-0.299933,-10.878725
-0.30994,-11.815348
-0.319948,-13.043197
-0.329956,-14.612063
-0.339964,-16.595222
-0.349972,-19.08568
-0.359979,-22.153894
-0.369987,-25.87408
-0.379995,-30.296966
-0.390003,-35.398132
