FileName: Palmsens_5mM_CV_100mVpS_E1_scan_05.csv
V,uA
-0.40001,-68.410088
-0.390003,-62.501
-0.379995,-57.352864
-0.369987,-52.777788
-0.359979,-48.766376
-0.349972,-45.309232
-0.339964,-42.359388
-0.329956,-39.832292
-0.319948,-37.709156
-0.30994,-35.896032
-0.299933,-34.364748
-0.289925,-33.087108
-0.279917,-31.969172
-0.269909,-31.010942
-0.259902,-30.184236
-0.249894,-29.451472
-0.239886,-28.812652
-0.229878,-28.220804
-0.21987,-27.694716
-0.209863,-27.215602
-0.199855,-26.792854
-0.189847,-26.3795
-0.179839,-26.022512
-0.169832,-25.665524
-0.159824,-25.327324
-0.149816,-24.99852
-0.139808,-24.6979
-0.129800904,-24.39728
-0.11979312,-24.106052
-0.109785344,-23.814826
-0.09977756,-23.523598
-0.089769784,-23.241766
-0.079762,-22.95054
-0.069754224,-22.649918
-0.05974644,-22.339904
-0.049738664,-22.001706
-0.039730884,-21.65411
-0.029723104,-21.259546
-0.019715326,-20.818008
-0.009707546,-20.301318
0.000300233,-19.700074
0.010308012,-18.929732
0.020315792,-17.933926
0.03032357,-16.496582
0.040331348,-14.495573
0.050339128,-11.99666
0.060346908,-8.840138
0.070354688,-5.044797
0.080362472,-0.52045
0.090370248,5.227049
0.100378032,12.111272
0.110385808,19.811868
0.120393584,28.626642
0.13040136,38.197668
0.140409,48.362416
0.150416,58.884152
0.160424,69.509232
0.170432,80.068544
0.18034,90.064192
0.190448,99.59952
0.200455,108.054488
0.210463,115.081504
0.220471,120.201456
0.230479,123.029176
0.240486,123.329792
0.250494,120.9718
0.260502,116.19944
0.27051,110.074288
0.280518,103.63912
0.290525,97.542144
0.300533,91.99944
0.310541,87.057984
0.320549,82.698984
0.330556,78.828488
0.340564,75.352552
0.350572,72.224216
0.36058,69.396496
0.370588,66.841216
0.380595,64.520796
0.390603,62.40706
0.400611,60.471808
0.410619,58.696268
0.420626,57.071032
0.430634,55.567924
0.440642,54.149372
0.45065,52.85294
0.460658,51.659852
0.470665,50.523128
0.480673,49.470956
0.490681,48.49394
0.500689,47.573284
0.510696,46.727788
0.520704,45.919868
0.530712,45.158924
0.54072,44.473132
0.550728,43.796732
0.560735,43.195492
0.570743,42.631828
0.580751,42.115132
0.590759,41.626624
0.600766,41.19448
0.610774,40.781128
0.620782,40.405352
0.63079,40.076548
0.640798,39.775928
0.650805,39.522276
0.660813,39.306204
0.670821,39.127712
0.680829,39.005584
0.690837,38.921036
0.700844,38.902244
0.690837,35.698752
0.680829,33.801084
0.670821,32.373132
0.660813,31.17065
0.650805,30.137264
0.640798,29.216612
0.63079,28.399298
0.620782,27.666534
0.610774,26.99953
0.600766,26.36071
0.590759,25.768862
0.580751,25.223986
0.570743,24.6979
0.560735,24.228178
0.550728,23.767854
0.54072,23.3545
0.530712,22.93175
0.520704,22.537186
0.510696,22.14262
0.500689,21.77624
0.490681,21.419252
0.480673,21.071658
0.470665,20.73346
0.460658,20.404654
0.45065,20.085246
0.440642,19.784624
0.430634,19.47461
0.420626,19.164594
0.410619,18.873368
0.400611,18.58214
0.390603,18.290912
0.380595,17.990292
0.370588,17.689672
0.36058,17.370262
0.350572,17.050852
0.340564,16.693864
0.330556,16.308693
0.320549,15.885945
0.310541,15.397436
0.300533,14.814983
0.290525,14.101008
0.280518,13.217933
0.27051,12.062421
0.260502,10.521737
0.250494,8.520728
0.240486,5.831109
0.230479,2.330752
0.220471,-2.136288
0.210463,-7.655503
0.200455,-14.256954
0.190448,-21.924672
0.18034,-30.340182
0.170432,-39.907448
0.160424,-50.0722
0.150416,-60.640908
0.140409,-71.50084
0.13040136,-82.3232
0.120393584,-92.88252
0.110385808,-102.8312
0.100378032,-111.793464
0.090370248,-119.459296
0.080362472,-125.330816
0.070354688,-128.994624
0.060346908,-129.952848
0.050339128,-127.970632
0.040331348,-123.339192
0.03032357,-116.904016
0.020315792,-109.839424
0.010308012,-103.01908
0.000300233,-96.912712
-0.009707546,-91.576696
-0.019715326,-86.954648
-0.029723104,-82.93384
-0.039730884,-79.429728
-0.049738664,-76.34836
-0.05974644,-73.605192
-0.069754224,-71.153256
-0.079762,-68.936168
-0.089769784,-66.935164
-0.09977756,-65.112644
-0.109785344,-63.431048
-0.11979312,-61.918544
-0.129800904,-60.499992
-0.139808,-59.184776
-0.149816,-57.972896
-0.159824,-56.864356
-0.169832,-56.122196
-0.179839,-55.2767
-0.189847,-54.449992
-0.199855,-53.726624
-0.209863,-53.209928
-0.21987,-52.279884
-0.229878,-50.9083
-0.239886,-50.128564
-0.249894,-49.508532
-0.259902,-49.010628
-0.269909,-48.606672
-0.279917,-48.296656
-0.289925,-48.089976
-0.299933,-48.080584
-0.30994,-48.174528
-0.319948,-48.550304
-0.329956,-49.189124
-0.339964,-50.250692
-0.349972,-51.71622
-0.359979,-53.726624
-0.369987,-56.38524
-0.379995,-59.701464
-0.390003,-63.759848
