FileName: Palmsens_0.5mM_CV_100mVpS_E1_scan_05.csv
V,uA
-0.40001,-41.607836
-0.390003,-35.463892
-0.379995,-30.052714
-0.369987,-25.289748
-0.359979,-21.156208
-0.349972,-17.652092
-0.339964,-14.683461
-0.329956,-12.203336
-0.319948,-10.155356
-0.30994,-8.492546
-0.299933,-7.147266
-0.289925,-6.083819
-0.279917,-5.244898
-0.269909,-4.579774
-0.259902,-4.057445
-0.249894,-3.640333
-0.239886,-3.302134
-0.229878,-3.034394
-0.21987,-2.817383
-0.209863,-2.648283
-0.199855,-2.515822
-0.189847,-2.40121
-0.179839,-2.322297
-0.169832,-2.240566
-0.159824,-2.174805
-0.149816,-2.121257
-0.139808,-2.063951
-0.129800904,-2.010403
-0.11979312,-1.954037
-0.109785344,-1.890155
-0.09977756,-1.829091
-0.089769784,-1.761451
-0.079762,-1.690054
-0.069754224,-1.619596
-0.05974644,-1.540683
-0.049738664,-1.463648
-0.039730884,-1.371583
-0.029723104,-1.277639
-0.019715326,-1.166785
-0.009707546,-1.053113
0.000300233,-0.924409
0.010308012,-0.767805
0.020315792,-0.602651
0.03032357,-0.397759
0.040331348,-0.12823368
0.050339128,0.231478
0.060346908,0.701668
0.070354688,1.330436
0.080362472,2.162405
0.090370248,3.040218
0.100378032,4.608897
0.110385808,6.293314
0.120393584,8.281171
0.13040136,10.452219
0.140409,12.662723
0.150416,14.693794
0.160424,16.33218
0.170432,17.467964
0.18034,17.971504
0.190448,18.001566
0.200455,17.630486
0.210463,17.014214
0.220471,16.274874
0.230479,15.503592
0.240486,14.761434
0.250494,14.060612
0.260502,13.419913
0.27051,12.839339
0.280518,12.31701
0.290525,11.843531
0.300533,11.416085
0.310541,11.008368
0.320549,10.629773
0.330556,10.28312
0.340564,9.975922
0.350572,9.698787
0.36058,9.449836
0.370588,9.226249
0.380595,9.033663
0.390603,8.849533
0.400611,8.689828
0.410619,8.545154
0.420626,8.422087
0.430634,8.317809
0.440642,8.224805
0.45065,8.145892
0.460658,8.072615
0.470665,8.015309
0.480673,7.971156
0.490681,7.937335
0.500689,7.914789
0.510696,7.899758
0.520704,7.893182
0.530712,7.900697
0.54072,7.918547
0.550728,7.935456
0.560735,7.979611
0.570743,8.025643
0.580751,8.086706
0.590759,8.160923
0.600766,8.252987
0.610774,8.351629
0.620782,8.478454
0.63079,8.616552
0.640798,8.777196
0.650805,8.967902
0.660813,9.183034
0.670821,9.434805
0.680829,9.720394
0.690837,10.055775
0.700844,10.449401
0.690837,8.06416
0.680829,6.779944
0.670821,5.886536
0.660813,5.192289
0.650805,4.639898
0.640798,4.179572
0.63079,3.795341
0.620782,3.471234
0.610774,3.182825
0.600766,2.937631
0.590759,2.715923
0.580751,2.525217
0.570743,2.342965
0.560735,2.185139
0.550728,2.042344
0.54072,1.919277
0.530712,1.798089
0.520704,1.689114
0.510696,1.586715
0.500689,1.490892
0.490681,1.404464
0.480673,1.324611
0.470665,1.250395
0.460658,1.174301
0.45065,1.110419
0.440642,1.039021
0.430634,0.995337
0.420626,0.937937
0.410619,0.883544
0.400611,0.831217
0.390603,0.780017
0.380595,0.73126
0.370588,0.685134
0.36058,0.636659
0.350572,0.59335
0.340564,0.545721
0.330556,0.496118
0.320549,0.438812
0.310541,0.373991
0.300533,0.301748
0.290525,0.215601
0.280518,0.115927008
0.27051,0.000657608
0.260502,-0.143828
0.250494,-0.329931
0.240486,-0.588559
0.230479,-0.944325
0.220471,-1.44439
0.210463,-2.132624
0.200455,-2.974363
0.190448,-4.308276
0.18034,-5.872444
0.170432,-7.700597
0.160424,-9.81246
0.150416,-11.988204
0.140409,-14.056854
0.13040136,-15.795758
0.120393584,-17.026426
0.110385808,-17.669004
0.100378032,-17.75825
0.090370248,-17.426628
0.080362472,-16.81787
0.070354688,-16.088865
0.060346908,-15.325098
0.050339128,-14.587637
0.040331348,-13.904664
0.03032357,-13.283694
0.020315792,-12.735061
0.010308012,-12.246551
0.000300233,-11.822863
-0.009707546,-11.445208
-0.019715326,-11.113585
-0.029723104,-10.827055
-0.039730884,-10.570589
-0.049738664,-10.347941
-0.05974644,-10.145961
-0.069754224,-9.959013
-0.079762,-9.792732
-0.089769784,-9.642421
-0.09977756,-9.497747
-0.109785344,-9.371862
-0.11979312,-9.260068
-0.129800904,-9.155791
-0.139808,-9.058089
-0.149816,-8.969781
-0.159824,-8.882413
-0.169832,-8.802561
-0.179839,-8.733042
-0.189847,-8.660705
-0.199855,-8.611854
-0.209863,-8.58461
-0.21987,-8.573337
-0.229878,-8.603399
-0.239886,-8.677615
-0.249894,-8.808198
-0.259902,-9.012996
-0.269909,-9.307041
-0.279917,-9.721334
-0.289925,-10.278423
-0.299933,-11.02152
-0.30994,-12.004175
-0.319948,-13.27336
-0.329956,-14.895774
-0.339964,-16.939058
-0.349972,-19.481184
-0.359979,-22.604826
-0.369987,-26.38044
-0.379995,-30.860632
-0.390003,-36.05574
