FileName: Pipot_Ferro-1_0mM_100mVpS_E1_scan_6.csv
V,uA
-0.3805,-2.6288
-0.3903,-2.9107
-0.4006,-3.2786
-0.3903,-2.6605000000000003
-0.3805,-2.2354
-0.3708,-1.8821999999999999
-0.3604,-1.5663
-0.3507,-1.3313000000000001
-0.3409,-1.1424
-0.3306,-0.96943
-0.3208,-0.84623
-0.3105,-0.7329899999999999
-0.3007,-0.65337
-0.291,-0.58561
-0.2806,-0.50966
-0.2709,-0.47324
-0.2606,-0.41595000000000004
-0.2508,-0.40004999999999996
-0.2411,-0.36099
-0.2307,-0.33891
-0.221,-0.31325
-0.2112,-0.30278999999999995
-0.2009,-0.27711
-0.1911,-0.26152
-0.1808,-0.26093
-0.171,-0.25021
-0.1613,-0.2361
-0.1509,-0.22428
-0.1412,-0.22621000000000002
-0.1308,-0.21012
-0.1211,-0.21131999999999998
-0.1114,-0.20310999999999998
-0.101,-0.17364000000000002
-0.0913,-0.17884999999999998
-0.0815,-0.17165
-0.0712,-0.15158000000000002
-0.0614,-0.14366
-0.0511,-0.11355
-0.0413,-0.11075
-0.0316,-0.099923
-0.0212,-0.060341
-0.0115,-0.050442
-0.0011,-0.016873000000000003
0.0086,0.010177
0.0183,0.18503999999999998
0.0287,0.62526
0.0384,0.46432
0.0482,0.41851
0.0585,0.50418
0.0683,0.63249
0.0786,0.85857
0.0884,1.1040999999999999
0.0981,1.3998
0.1085,1.7795
0.1182,2.1172
0.128,2.4383
0.1383,2.8043
0.1481,3.0136
0.1584,3.1926
0.1682,3.2369
0.1779,3.2034000000000002
0.1882,3.1315999999999997
0.198,2.9878
0.2083,2.8435
0.2181,2.6799
0.2278,2.5305
0.2382,2.4139
0.2479,2.2742999999999998
0.2577,2.1907
0.268,2.1055
0.2778,2.0252
0.2881,1.9611
0.2979,1.9025
0.3076,1.8477
0.318,1.8067
0.3277,1.769
0.338,1.7365
0.3478,1.7063000000000001
0.3575,1.6759
0.3679,1.6569
0.3776,1.6401999999999999
0.3874,1.6199
0.3977,1.6124
0.4075,1.6014
0.4178,1.6064
0.4276,1.5796000000000001
0.4373,1.5976
0.4477,1.5953
0.4574,1.5887
0.4678,1.5915
0.4775,1.6045
0.4872,1.6074000000000002
0.4976,1.6280999999999999
0.5073,1.6421
0.5171,1.6585
0.5274,1.6878
0.5372,1.7120000000000002
0.5475,1.7502
0.5573,1.7819
0.567,1.8187
0.5774,1.8523
0.5871,1.8965
0.5975,1.9506000000000001
0.6072,1.9831
0.6169,2.0472
0.6273,2.1029
0.637,2.1531000000000002
0.6468,2.2074
0.6571,2.2782999999999998
0.6669,2.3459
0.6772,2.4194
0.687,2.5100000000000002
0.6967,2.5915999999999997
0.687,2.0882
0.6772,1.8012
0.6669,1.5737
0.6571,1.4064
0.6468,1.2444000000000002
0.637,1.1260000000000001
0.6273,1.0332999999999999
0.6169,0.9381499999999999
0.6072,0.8671800000000001
0.5975,0.81336
0.5871,0.74017
0.5774,0.6857
0.567,0.62987
0.5573,0.59243
0.5475,0.56473
0.5372,0.50854
0.5274,0.48301000000000005
0.5171,0.44833
0.5073,0.42343
0.4976,0.40031999999999995
0.4872,0.37304000000000004
0.4775,0.35104
0.4678,0.33477
0.4574,0.32103000000000004
0.4477,0.30332
0.4373,0.28376
0.4276,0.2734
0.4178,0.26466
0.4075,0.23054
0.3977,0.23231
0.3874,0.21001
0.3776,0.21141000000000001
0.3679,0.20069
0.3575,0.17498
0.3478,0.17543999999999998
0.338,0.16607
0.3277,0.13981000000000002
0.318,0.13838
0.3076,0.11722
0.2979,0.10167999999999999
0.2881,0.10348
0.2778,0.085301
0.268,0.059622
0.2577,0.034545
0.2479,0.012352
0.2382,-0.015675
0.2278,-0.072361
0.2181,-0.12501
0.2083,-0.2064
0.198,-0.31586000000000003
0.1882,-0.45181000000000004
0.1779,-0.64835
0.1682,-0.86995
0.1584,-1.1448
0.1481,-1.4805000000000001
0.1383,-1.8124
0.128,-2.2192
0.1182,-2.5218000000000003
0.1085,-2.8043
0.0981,-3.0768
0.0884,-3.1943
0.0786,-3.2375
0.0683,-3.2253
0.0585,-3.0949
0.0482,-2.9783
0.0384,-2.8188999999999997
0.0287,-2.6553
0.0183,-2.5422
0.0086,-2.4087
-0.0011,-2.2937000000000003
-0.0115,-2.2058
-0.0212,-2.1142999999999996
-0.0316,-2.0608
-0.0413,-1.974
-0.0511,-1.9348999999999998
-0.0614,-1.888
-0.0712,-1.8465
-0.0815,-1.8112
-0.0913,-1.7693999999999999
-0.101,-1.7402000000000002
-0.1114,-1.7346000000000001
-0.1211,-1.7038000000000002
-0.1308,-1.7120000000000002
-0.1412,-1.7415
-0.1509,-1.7604
-0.1613,-1.7555
-0.171,-1.8651
-0.1808,-1.9383000000000001
-0.1911,-1.8195
-0.2009,-1.6979000000000002
-0.2112,-1.6961
-0.221,-1.6729999999999998
-0.2307,-1.6592
-0.2411,-1.6256
-0.2508,-1.6008
-0.2606,-1.5967
-0.2709,-1.6164
-0.2806,-1.6149
-0.291,-1.6279
-0.3007,-1.6609
-0.3105,-1.6932
-0.3208,-1.7972
-0.3306,-1.8102
-0.3409,-1.9382
-0.3507,-2.0366
-0.3604,-2.1965999999999997
-0.3708,-2.4143
