FileName: Palmsens_1.0mM_CV_100mVpS_E1_scan_01.csv
V,uA
-0.40001,-115.463064
-0.390003,-72.04592
-0.379995,-57.921124
-0.369987,-47.920876
-0.359979,-41.025384
-0.349972,-35.379344
-0.339964,-30.644562
-0.329956,-26.661332
-0.319948,-23.298134
-0.30994,-20.479812
-0.299933,-18.140602
-0.289925,-16.186566
-0.279917,-14.580122
-0.269909,-13.236721
-0.259902,-12.137576
-0.249894,-11.216924
-0.239886,-10.446582
-0.229878,-9.783337
-0.21987,-9.221551
-0.209863,-8.741497
-0.199855,-8.325325
-0.189847,-7.956125
-0.179839,-7.64423
-0.169832,-7.345488
-0.159824,-7.083384
-0.149816,-6.861676
-0.139808,-6.648423
-0.129800904,-6.452079
-0.11979312,-6.273586
-0.109785344,-6.100729
-0.09977756,-5.931629
-0.089769784,-5.768167
-0.079762,-5.605643
-0.069754224,-5.448757
-0.05974644,-5.289052
-0.049738664,-5.135923
-0.039730884,-4.977157
-0.029723104,-4.813695
-0.019715326,-4.651171
-0.009707546,-4.504619
0.000300233,-4.372158
0.010308012,-4.203058
0.020315792,-3.990745
0.03032357,-3.641272
0.040331348,-3.25892
0.050339128,-2.792018
0.060346908,-2.114681
0.070354688,-1.177119
0.080362472,0.112732912
0.090370248,1.84694
0.100378032,4.121327
0.110385808,6.999774
0.120393584,10.51798
0.13040136,14.58482
0.140409,19.045284
0.150416,23.665454
0.160424,28.131556
0.170432,32.138272
0.18034,35.247824
0.190448,37.408536
0.200455,38.27282
0.210463,37.934624
0.220471,36.675772
0.230479,34.88144
0.240486,32.936796
0.250494,31.057916
0.260502,29.329342
0.27051,27.80745
0.280518,26.473442
0.290525,25.280354
0.300533,24.24697
0.310541,23.3545
0.320549,22.527792
0.330556,21.766844
0.340564,21.081052
0.350572,20.451628
0.36058,19.906752
0.370588,19.418242
0.380595,18.976706
0.390603,18.572746
0.400611,18.19697
0.410619,17.85877
0.420626,17.548756
0.430634,17.266924
0.440642,17.00388
0.45065,16.778414
0.460658,16.562342
0.470665,16.36506
0.480673,16.195961
0.490681,16.045651
0.500689,15.914129
0.510696,15.792
0.520704,15.698057
0.530712,15.604113
0.54072,15.538351
0.550728,15.472591
0.560735,15.444408
0.570743,15.425619
0.580751,15.425619
0.590759,15.435012
0.600766,15.463196
0.610774,15.519563
0.620782,15.585325
0.63079,15.669873
0.640798,15.782607
0.650805,15.932917
0.660813,16.092623
0.670821,16.28051
0.680829,16.524765
0.690837,16.81599
0.700844,17.135402
0.690837,14.429812
0.680829,12.936101
0.670821,11.865138
0.660813,11.010247
0.650805,10.305666
0.640798,9.72885
0.63079,9.219673
0.620782,8.766862
0.610774,8.372297
0.600766,8.018128
0.590759,7.690263
0.580751,7.402794
0.570743,7.135992
0.560735,6.891738
0.550728,6.664393
0.54072,6.464292
0.530712,6.268888
0.520704,6.084758
0.510696,5.91284
0.500689,5.758772
0.490681,5.609401
0.480673,5.462848
0.470665,5.327569
0.460658,5.201684
0.45065,5.07392
0.440642,4.959308
0.430634,4.846575
0.420626,4.730085
0.410619,4.625807
0.400611,4.525286
0.390603,4.417251
0.380595,4.31767
0.370588,4.218089
0.36058,4.120387
0.350572,4.017988
0.340564,3.908074
0.330556,3.786886
0.320549,3.64597
0.310541,3.489083
0.300533,3.304953
0.290525,3.082305
0.280518,2.811746
0.27051,2.459456
0.260502,1.992554
0.250494,1.355613
0.240486,0.463144
0.230479,-0.765644
0.220471,-2.437849
0.210463,-4.668081
0.200455,-7.514587
0.190448,-11.002732
0.18034,-15.062995
0.170432,-19.43985
0.160424,-24.095718
0.150416,-28.564638
0.140409,-32.636176
0.13040136,-35.858456
0.120393584,-38.009776
0.110385808,-38.88346
0.100378032,-38.526472
0.090370248,-37.248832
0.080362472,-35.398132
0.070354688,-33.387728
0.060346908,-31.405506
0.050339128,-29.601782
0.040331348,-27.985944
0.03032357,-26.567388
0.020315792,-25.317932
0.010308012,-24.218786
0.000300233,-23.26995
-0.009707546,-22.424452
-0.019715326,-21.672902
-0.029723104,-21.015292
-0.039730884,-20.423444
-0.049738664,-19.887964
-0.05974644,-19.427638
-0.069754224,-18.995494
-0.079762,-18.58214
-0.089769784,-18.215758
-0.09977756,-17.886954
-0.109785344,-17.576938
-0.11979312,-17.3045
-0.129800904,-17.050852
-0.139808,-16.825386
-0.149816,-16.59992
-0.159824,-16.36506
-0.169832,-16.158383
-0.179839,-15.970494
-0.189847,-15.829579
-0.199855,-15.688663
-0.209863,-15.594718
-0.21987,-15.519563
-0.229878,-15.500774
-0.239886,-15.885945
-0.249894,-15.716845
-0.259902,-15.895339
-0.269909,-16.233538
-0.279917,-16.712652
-0.289925,-17.398444
-0.299933,-18.300308
-0.30994,-19.47461
-0.319948,-21.024686
-0.329956,-23.006906
-0.339964,-25.505818
-0.349972,-28.643552
-0.359979,-32.420106
-0.369987,-36.920028
-0.379995,-42.124528
-0.390003,-48.099372
